"Source","Statistic","Reported.Comparison","Reported.P.Value","Raw"
"14116","Marriage Advantages in Perinatal Health  Evidence of Marriage Selection or Marriage Protection  - Kane - 2015","p","<",0.1,"p < .10"
"15104","Marriage Advantages in Perinatal Health  Evidence of Marriage Selection or Marriage Protection  - Kane - 2015","p","<",0.001,"p < .001"
"1687","Marriage Advantages in Perinatal Health  Evidence of Marriage Selection or Marriage Protection  - Kane - 2015","p","<",0.01,"p < .01"
"1781","Marriage Advantages in Perinatal Health  Evidence of Marriage Selection or Marriage Protection  - Kane - 2015","p","<",0.1,"p < .10"
"1878","Marriage Advantages in Perinatal Health  Evidence of Marriage Selection or Marriage Protection  - Kane - 2015","p","<",0.01,"p < .01"
"1605","Marriage and Offending  Examining the Significance of Marriage among the Children of Immigrants - Bersani","p","<",0.01,"p < .01"
"2389","Marriage and Offending  Examining the Significance of Marriage among the Children of Immigrants - Bersani","p","<",0.01,"p < .01"
"3305","Marriage and Offending  Examining the Significance of Marriage among the Children of Immigrants - Bersani","p","<",0.001,"p < .001"
"1606","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.05,"p < .05"
"2390","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.01,"p < .01"
"3306","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.05,"p < .05"
"4286","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.01,"p < .01"
"5277","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.1,"p < .10"
"6267","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.05,"p < .05"
"7255","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.01,"p < .01"
"8248","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.05,"p < .05"
"9175","Marriage and Women's Health in Japan - Lim - 2016","p","<",0.01,"p < .01"
"1607","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA,"(NS"
"2391","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"3307","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"4287","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"5278","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"6268","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA,"(NS"
"7256","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"8249","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"9176","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"10143","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"11184","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"12152","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"13128","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"14117","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"15105","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA," NS"
"1688","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA,"/ns"
"1782","Marriage or Carriage  Trends in Union Context and Birth Type by Education - Gibson-Davis - 2014","p","ns",NA,"_ns"
"1608","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"2392","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"3308","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"4288","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"5279","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"6269","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0.19,"p = .19"
"7257","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"8250","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0.43,"p = .43"
"9177","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"10144","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"11185","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"12153","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"13129","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"14118","Marryam Khan, Heejung Ro, Amy M. Gregory, Tadayuki Hara, 2016","p","=",0,"p = .00"
"1609","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","=",0.55,"p = .55"
"2393","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.05,"p < .05"
"3309","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.01,"p < .01"
"4289","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.001,"p < .001"
"5280","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.05,"p < .05"
"6270","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.01,"p < .01"
"7258","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.001,"p < .001"
"8251","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.05,"p < .05"
"9178","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.01,"p < .01"
"10145","Mary-Hunter McDonnell, Brayden G King, Sarah A. Soule, 2015","p","<",0.001,"p < .001"
"1689","Mary Bernstein, Nancy A. Naples, 2015","p","ns",NA," NS"
"1690","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","ns",NA," Ns"
"2394","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","ns",NA," Ns"
"3329","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","<",0.05,"p < .05"
"4290","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","ns",NA," Ns"
"5281","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","ns",NA," Ns"
"6271","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","<",0.05,"p < .05"
"7259","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","ns",NA," Ns"
"8252","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","ns",NA," Ns"
"9179","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","<",0.1,"p < .10"
"10146","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","<",0.05,"p < .05"
"11186","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","<",0.01,"p < .01"
"12154","Maternal Education and Investments in Children's Health - Prickett - 2015 - Journal of Marriage and Family - Wiley Online Library","p","<",0.001,"p < .001"
"1691","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","ns",NA," ns"
"2395","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.001,"p < .001"
"3330","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.001,"p < .001"
"4291","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.001,"p < .001"
"5282","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.01,"p < .01"
"6272","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","ns",NA," ns"
"7260","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.05,"p < .05"
"8253","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.01,"p < .01"
"9180","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.001,"p < .001"
"10147","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.01,"p < .01"
"11187","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.001,"p < .001"
"12155","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.001,"p < .001"
"13130","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.001,"p < .001"
"14119","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.05,"p < .05"
"15106","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.05,"p < .05"
"1692","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.05,"p < .05"
"1783","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.01,"p < .01"
"1879","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.001,"p < .001"
"1970","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","ns",NA," ns"
"2065","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.05,"p < .05"
"21128","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","p","<",0.05,"p < .05"
"1693","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.001,"p < .001"
"2396","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.05,"p < .05"
"3331","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.05,"p < .05"
"4292","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.05,"p < .05"
"5283","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.01,"p < .01"
"6273","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","=",0.27,"p = .27"
"7261","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.1,"p < .10"
"8254","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.05,"p < .05"
"9181","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.01,"p < .01"
"10148","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","<",0.001,"p < .001"
"11188","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","=",0.325,"p = .325"
"12156","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","=",0.213,"p = .213"
"13131","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","p","=",0.389,"p = .389"
"1694","Maternal Work Absence - Nes - 2015","p","<",0.0001,"p < .0001"
"2397","Maternal Work Absence - Nes - 2015","p","ns",NA,";ns"
"3332","Maternal Work Absence - Nes - 2015","p","<",0.001,"p < .001"
"4293","Maternal Work Absence - Nes - 2015","p","<",0.001,"p < .001"
"5284","Maternal Work Absence - Nes - 2015","p","<",0.001,"p < .001"
"6274","Maternal Work Absence - Nes - 2015","p","<",0.001,"p < .001"
"7262","Maternal Work Absence - Nes - 2015","p","<",0.001,"p < .001"
"8255","Maternal Work Absence - Nes - 2015","p","<",0.001,"p < .001"
"9182","Maternal Work Absence - Nes - 2015","p","<",0.001,"p < .001"
"10149","Maternal Work Absence - Nes - 2015","p","<",0.001,"p < .001"
"11189","Maternal Work Absence - Nes - 2015","p","ns",NA," NS"
"12157","Maternal Work Absence - Nes - 2015","p","ns",NA," NS"
"13132","Maternal Work Absence - Nes - 2015","p","ns",NA,";ns"
"14120","Maternal Work Absence - Nes - 2015","p","ns",NA,";ns"
"1695","Matissa N. Hollister, Kristin E. Smith, 2014","p","<",0.05,"p < .05"
"2398","Matissa N. Hollister, Kristin E. Smith, 2014","p","<",0.05,"p < .05"
"3333","Matissa N. Hollister, Kristin E. Smith, 2014","p","<",0.05,"p < .05"
"1696","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.05,"p < .05"
"2399","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.01,"p < .01"
"3334","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.001,"p < .001"
"4294","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.05,"p < .05"
"5285","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.01,"p < .01"
"6275","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.001,"p < .001"
"7263","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.05,"p < .05"
"8256","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.01,"p < .01"
"9183","Matthew Desmond, Andrew V. Papachristos, David S. Kirk, 2016","p","<",0.001,"p < .001"
"1697","Matthew Hall, Kyle Crowder, Amy Spring, 2015","p","<",0.05,"p < .05"
"2400","Matthew Hall, Kyle Crowder, Amy Spring, 2015","p","<",0.01,"p < .01"
"3335","Matthew Hall, Kyle Crowder, Amy Spring, 2015","p","<",0.001,"p < .001"
"4295","Matthew Hall, Kyle Crowder, Amy Spring, 2015","p","<",0.05,"p < .05"
"5286","Matthew Hall, Kyle Crowder, Amy Spring, 2015","p","<",0.01,"p < .01"
"6276","Matthew Hall, Kyle Crowder, Amy Spring, 2015","p","<",0.001,"p < .001"
"1698","Measuring Constructs in Family Science  How Can Item Response Theory Improve Precision and Validity  - Gordon - 2015","p","<",0.001,"p < .001"
"2401","Measuring Constructs in Family Science  How Can Item Response Theory Improve Precision and Validity  - Gordon - 2015","p",">",0.1,"p > .10"
"3336","Measuring Constructs in Family Science  How Can Item Response Theory Improve Precision and Validity  - Gordon - 2015","p",">",0.05,"p > .05"
"1699","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.05,"p < .05"
"2402","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.01,"p < .01"
"3337","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.001,"p < .001"
"4296","Melanie M. Hughes, Lisa D. Brush, 2015","p","=",0,"p = .000"
"5287","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.05,"p < .05"
"6277","Melanie M. Hughes, Lisa D. Brush, 2015","p","=",0.001,"p = .001"
"7264","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.05,"p < .05"
"8257","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.01,"p < .01"
"9184","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.001,"p < .001"
"10150","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.01,"p < .01"
"11190","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.001,"p < .001"
"12158","Melanie M. Hughes, Lisa D. Brush, 2015","p","=",0.367,"p = .367"
"13133","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.05,"p < .05"
"14121","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.05,"p < .05"
"15107","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.01,"p < .01"
"16100","Melanie M. Hughes, Lisa D. Brush, 2015","p","<",0.001,"p < .001"
"1784","Melanie M. Hughes, Lisa D. Brush, 2015","p","ns",NA,"(NS"
"1880","Melanie M. Hughes, Lisa D. Brush, 2015","p","ns",NA," NS"
"1700","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.05,"p < .05"
"2403","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.01,"p < .01"
"3338","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.001,"p < .001"
"4297","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.05,"p < .05"
"5288","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.01,"p < .01"
"6278","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.001,"p < .001"
"7265","Michael Biggs, Kenneth T. Andrews, 2015","p","=",0.02,"p = .02"
"8258","Michael Biggs, Kenneth T. Andrews, 2015","p","=",0.02,"p = .02"
"9185","Michael Biggs, Kenneth T. Andrews, 2015","p","=",0.002,"p = .002"
"10151","Michael Biggs, Kenneth T. Andrews, 2015","p","=",0.058,"p = .058"
"11191","Michael Biggs, Kenneth T. Andrews, 2015","p","=",0.003,"p = .003"
"12159","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.05,"p < .05"
"13134","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.01,"p < .01"
"14122","Michael Biggs, Kenneth T. Andrews, 2015","p","<",0.001,"p < .001"
"15108","Michael Biggs, Kenneth T. Andrews, 2015","p","=",0.053,"p = .053"
"16101","Michael Biggs, Kenneth T. Andrews, 2015","p","=",0.03,"p = .03"
"1701","Michael Hechter, Steven Pfaff, Patrick Underwood","p","=",0.061,"p = .061"
"2404","Michael Hechter, Steven Pfaff, Patrick Underwood","p","=",0.027,"p = .027"
"3339","Michael Hechter, Steven Pfaff, Patrick Underwood","p","<",0.05,"p < .05"
"4298","Michael Hechter, Steven Pfaff, Patrick Underwood","p","<",0.01,"p < .01"
"5289","Michael Hechter, Steven Pfaff, Patrick Underwood","p","<",0.001,"p < .001"
"6279","Michael Hechter, Steven Pfaff, Patrick Underwood","p","=",0.027,"p = .027"
"7266","Michael Hechter, Steven Pfaff, Patrick Underwood","p","<",0.05,"p < .05"
"8259","Michael Hechter, Steven Pfaff, Patrick Underwood","p","<",0.01,"p < .01"
"9186","Michael Hechter, Steven Pfaff, Patrick Underwood","p","<",0.001,"p < .001"
"10152","Michael Hechter, Steven Pfaff, Patrick Underwood","p","=",0.06,"p = .06"
"1702","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.1,"p < .10"
"2405","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.1,"p < .10"
"3340","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.05,"p < .05"
"4299","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.01,"p < .01"
"5290","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.001,"p < .001"
"6280","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.001,"p < .001"
"7267","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.1,"p < .10"
"8260","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.05,"p < .05"
"9187","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.01,"p < .01"
"10153","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.001,"p < .001"
"11192","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.1,"p < .10"
"12160","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.05,"p < .05"
"13135","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.01,"p < .01"
"14123","Michael T. Light, Jeffery T. Ulmer, 2016","p","<",0.001,"p < .001"
"1703","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"2406","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"3341","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.05,"p < .05"
"4300","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.01,"p < .01"
"5291","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"6281","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"7268","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"8261","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.05,"p < .05"
"9188","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.01,"p < .01"
"10154","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"11193","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.05,"p < .05"
"12161","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.01,"p < .01"
"13136","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"14124","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"15109","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"16102","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"1785","Michael T. Light, Michael Massoglia, Ryan D. King, 2014","p","<",0.001,"p < .001"
"1704","Ming-Miin Yu, Li-Hsueh Chen, 2016","p","ns",NA,",ns"
"2407","Ming-Miin Yu, Li-Hsueh Chen, 2016","p","ns",NA,",ns"
"3342","Ming-Miin Yu, Li-Hsueh Chen, 2016","p","ns",NA,",ns"
"4301","Ming-Miin Yu, Li-Hsueh Chen, 2016","p","ns",NA,",ns"
"5292","Ming-Miin Yu, Li-Hsueh Chen, 2016","p","ns",NA,",ns"
"6282","Ming-Miin Yu, Li-Hsueh Chen, 2016","p","ns",NA,",ns"
"1705","Ming D. Leung, 2014","p","<",0.001,"p < .001"
"2408","Ming D. Leung, 2014","p","<",0.05,"p < .05"
"3343","Ming D. Leung, 2014","p","<",0.01,"p < .01"
"4302","Ming D. Leung, 2014","p","<",0.001,"p < .001"
"5293","Ming D. Leung, 2014","p","<",0.001,"p < .001"
"6283","Ming D. Leung, 2014","p","<",0.05,"p < .05"
"7269","Ming D. Leung, 2014","p","<",0.01,"p < .01"
"8262","Ming D. Leung, 2014","p","<",0.001,"p < .001"
"9189","Ming D. Leung, 2014","p","<",0.07,"p < .07"
"10155","Ming D. Leung, 2014","p","<",0.001,"p < .001"
"11194","Ming D. Leung, 2014","p","<",0.001,"p < .001"
"12162","Ming D. Leung, 2014","p","<",0.001,"p < .001"
"1706","Moving beyond Stylized Economic Network Models  The Hybrid World of the Indian Firm Ownership Network","p","",0.1,"P < .10"
"2409","Moving beyond Stylized Economic Network Models  The Hybrid World of the Indian Firm Ownership Network","p","",0.05,"P < .05"
"3344","Moving beyond Stylized Economic Network Models  The Hybrid World of the Indian Firm Ownership Network","p","",0.01,"P < .01"
"1707","My Pride and Joy  Predicting Favoritism and Disfavoritism in Mother–Adult Child Relations - Jill Suitor - 2016","p","<",0.01,"p < .01"
"2456","My Pride and Joy  Predicting Favoritism and Disfavoritism in Mother–Adult Child Relations - Jill Suitor - 2016","p","<",0.05,"p < .05"
"3345","My Pride and Joy  Predicting Favoritism and Disfavoritism in Mother–Adult Child Relations - Jill Suitor - 2016","p","<",0.01,"p < .01"
"1708","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.674,"P = .674"
"2457","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.256,"P = .256"
"3346","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.1,"P < .10"
"4303","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.05,"P < .05"
"5294","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.01,"P < .01"
"6284","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.001,"P < .001"
"7270","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.001,"P < .001"
"8263","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.001,"P < .001"
"9190","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.1,"P < .10"
"10156","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.05,"P < .05"
"11195","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.01,"P < .01"
"12163","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.001,"P < .001"
"13137","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.1,"P < .10"
"14125","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.05,"P < .05"
"15110","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.01,"P < .01"
"16103","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.001,"P < .001"
"1786","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.1,"P < .10"
"1881","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.05,"P < .05"
"1971","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.01,"P < .01"
"2066","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.001,"P < .001"
"21129","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.05,"P < .05"
"22114","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.01,"P < .01"
"23100","Neighborhood Effect Heterogeneity by Family Income and Developmental Period","p","",0.001,"P < .001"
"1709","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.1,"p < .1"
"2458","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.05,"p < .05"
"3347","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.01,"p < .01"
"4304","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.001,"p < .001"
"5295","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.05,"p < .05"
"6285","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.01,"p < .01"
"7271","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.001,"p < .001"
"8264","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.01,"p < .01"
"9191","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.1,"p < .1"
"10157","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.05,"p < .05"
"11196","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.01,"p < .01"
"12164","Neil Fligstein, Alexander F. Roehrkasse, 2016","p","<",0.001,"p < .001"
"1787","Neither Ideologues nor Agnostics","p","",0.05,"P < .05"
"2459","Neither Ideologues nor Agnostics","p","",0.01,"P < .01"
"3348","Neither Ideologues nor Agnostics","p","",0.001,"P < .001"
"4305","Neither Ideologues nor Agnostics","p","",0.05,"P < .05"
"5296","Neither Ideologues nor Agnostics","p","",0.01,"P < .01"
"6286","Neither Ideologues nor Agnostics","p","",0.001,"P < .001"
"7272","Neither Ideologues nor Agnostics","p","",0.05,"P < .05"
"8265","Neither Ideologues nor Agnostics","p","",0.01,"P < .01"
"9192","Neither Ideologues nor Agnostics","p","",0.001,"P < .001"
"10158","Neither Ideologues nor Agnostics","p","",0.05,"P < .05"
"11197","Neither Ideologues nor Agnostics","p","",0.01,"P < .01"
